Location_id,LSOA_of_Accident_Location,Longitude,Latitude,Urban_or_Rural_Area,CityID
1,E01002821,-0.169101,51.493429,1,39
2,E01004760,-0.200838,51.517931,1,24
3,E01002893,-0.188636,51.487618,1,45
4,E01002886,-0.200259,51.514325,1,59
5,E01002890,-0.183773,51.497614,1,51
6,E01002912,-0.185496,51.483253,1,25
7,E01002818,-0.160418,51.501567,1,49
8,E01002905,-0.213862,51.523975,1,51
9,E01002818,-0.161567,51.498077,1,31
10,E01002825,-0.198587,51.505576,1,42
11,E01002889,-0.190082,51.502028,1,77
12,E01002867,-0.204686,51.497037,1,32
13,E01002884,-0.197303,51.508884,1,69
14,E01002874,-0.20776,51.51417,1,32
15,E01002879,-0.20927,51.516082,1,43
16,E01002840,-0.18022,51.481912,1,29
17,E01002872,-0.212046,51.511448,1,41
18,E01002840,-0.173448,51.481986,1,26
19,E01002813,-0.196947,51.496019,1,52
20,E01002827,-0.194916,51.507318,1,17
21,E01002884,-0.197777,51.511499,1,63
22,E01002848,-0.200249,51.492652,1,12
23,E01002902,-0.16055,51.491137,1,43
24,E01002895,-0.180416,51.48785,1,57
25,E01002844,-0.169814,51.486426,1,36
26,E01002889,-0.188775,51.502278,1,66
27,E01002889,-0.185916,51.501694,1,31
28,E01002880,-0.216922,51.515748,1,19
29,E01002880,-0.216919,51.515838,1,20
30,E01002889,-0.18705,51.502161,1,20
31,E01002894,-0.19117,51.489096,1,4
32,E01002821,-0.174709,51.493697,1,81
33,E01002867,-0.209922,51.499455,1,11
34,E01002817,-0.197613,51.497378,1,73
35,E01002821,-0.173046,51.495649,1,53
36,E01002822,-0.175824,51.491016,1,34
37,E01002822,-0.172593,51.492584,1,71
38,E01002819,-0.165469,51.497779,1,37
39,E01002831,-0.206333,51.517475,1,14
40,E01002861,-0.163857,51.491279,1,36
41,E01002841,-0.180036,51.479301,1,28
42,E01002878,-0.211037,51.518806,1,4
43,E01002823,-0.169792,51.490562,1,46
44,E01002815,-0.195978,51.495015,1,73
45,E01002819,-0.166178,51.49806,1,84
46,E01002913,-0.184297,51.480806,1,35
47,E01002879,-0.209678,51.516717,1,9
48,E01002891,-0.184329,51.501759,1,74
49,E01002871,-0.205004,51.507293,1,66
50,E01002894,-0.192487,51.488576,1,79
51,E01002898,-0.185344,51.490714,1,40
52,E01002813,-0.192704,51.497662,1,40
53,E01002835,-0.179406,51.491521,1,61
54,E01002852,-0.214677,51.525246,1,37
55,E01002851,-0.195132,51.494552,1,53
56,E01002852,-0.216729,51.528065,1,2
57,E01002864,-0.209771,51.499633,1,65
58,E01002910,-0.176936,51.488425,1,16
59,E01002848,-0.201285,51.491949,1,47
60,E01002848,-0.200393,51.492655,1,73
61,E01002817,-0.198705,51.498924,1,52
62,E01002866,-0.213002,51.50175,1,49
63,E01002863,-0.159015,51.497048,1,25
64,E01002902,-0.155861,51.489535,1,37
65,E01002880,-0.216778,51.515746,1,33
66,E01002914,-0.167493,51.490437,1,48
67,E01002863,-0.159012,51.497138,1,15
68,E01002873,-0.213877,51.505181,1,13
69,E01002851,-0.195423,51.494467,1,11
70,E01004689,-0.163518,51.499727,1,50
71,E01002889,-0.186906,51.502159,1,5
72,E01002890,-0.183885,51.498425,1,14
73,E01002882,-0.203032,51.513468,1,71
74,E01002894,-0.194973,51.487625,1,1
75,E01002877,-0.221279,51.514915,1,29
76,E01002841,-0.180152,51.480022,1,74
77,E01002875,-0.207343,51.510117,1,16
78,E01002821,-0.173611,51.495928,1,64
79,E01002877,-0.221683,51.515641,1,62
80,E01002913,-0.186385,51.482637,1,34
81,E01002877,-0.221419,51.515007,1,77
82,E01002819,-0.165732,51.498412,1,18
83,E01002816,-0.194529,51.498859,1,74
84,E01002895,-0.181111,51.48849,1,50
85,E01002870,-0.216336,51.512322,1,32
86,E01002884,-0.197159,51.508882,1,10
87,E01002867,-0.205856,51.496605,1,7
88,E01002901,-0.149982,51.485305,2,11
89,E01002821,-0.172625,51.495373,1,38
90,E01002869,-0.210828,51.505764,1,40
91,E01002818,-0.16377,51.497033,1,27
92,E01002902,-0.161288,51.490699,1,3
93,E01002835,-0.179115,51.495204,1,68
94,E01002839,-0.188361,51.494538,1,35
95,E01002814,-0.206003,51.496518,1,26
96,E01002850,-0.191381,51.494674,1,65
97,E01002818,-0.162784,51.500075,1,47
98,E01002874,-0.208593,51.514992,1,67
99,E01002839,-0.186051,51.494682,1,65
100,E01002913,-0.186532,51.482549,1,10
101,E01002912,-0.184312,51.484044,1,15
102,E01002909,-0.211712,51.519986,1,43
103,E01002817,-0.198705,51.498924,1,9
104,E01002840,-0.173445,51.482076,1,83
105,E01002840,-0.173445,51.482076,1,5
106,E01002863,-0.159883,51.496972,1,42
107,E01002869,-0.21199,51.505512,1,56
108,E01002902,-0.155734,51.49268,1,29
109,E01002821,-0.173478,51.495656,1,66
110,E01002913,-0.186248,51.482455,1,11
111,E01002840,-0.173445,51.482076,1,37
112,E01002869,-0.212633,51.503813,1,32
113,E01002850,-0.193832,51.494622,1,48
114,E01002835,-0.182473,51.494087,1,11
115,E01002818,-0.159393,51.498403,1,43
116,E01002818,-0.160559,51.501659,1,69
117,E01002843,-0.184153,51.480804,1,28
118,E01002828,-0.19978,51.508203,1,45
119,E01002901,-0.150108,51.485757,2,48
120,E01002868,-0.209086,51.506097,1,44
121,E01004689,-0.163518,51.499727,1,79
122,E01002913,-0.181811,51.481757,1,39
123,E01002844,-0.168299,51.484694,1,39
124,E01002875,-0.205302,51.510715,1,14
125,E01002838,-0.17708,51.488428,1,1
126,E01002887,-0.183143,51.495356,1,21
127,E01002912,-0.182693,51.484918,1,22
128,E01002840,-0.172139,51.482326,1,14
129,E01002896,-0.187113,51.486065,1,38
130,E01002831,-0.205641,51.516745,1,7
131,E01002826,-0.190949,51.501952,1,4
132,E01002912,-0.183614,51.483493,1,2
133,E01002833,-0.204749,51.513764,1,36
134,E01002831,-0.209811,51.516989,1,48
135,E01002856,-0.210222,51.521222,1,52
136,E01002879,-0.209822,51.516719,1,44
137,E01002829,-0.203136,51.518146,1,76
138,E01002835,-0.180418,51.495044,1,24
139,E01002859,-0.15789,51.492804,1,22
140,E01002845,-0.175946,51.484363,1,51
141,E01002853,-0.211624,51.522232,1,74
142,E01002830,-0.205722,51.518365,1,55
143,E01002873,-0.215766,51.50476,1,80
144,E01002859,-0.161265,51.494835,1,56
145,E01002894,-0.190296,51.489352,1,65
146,E01002835,-0.182876,51.494813,1,69
147,E01002874,-0.209133,51.5159,1,75
148,E01002819,-0.165728,51.498502,1,45
149,E01002867,-0.205856,51.496605,1,8
150,E01002830,-0.204548,51.518887,1,62
151,E01002896,-0.182837,51.48492,1,83
152,E01002892,-0.179482,51.496828,1,66
153,E01002913,-0.181674,51.481575,1,44
154,E01002874,-0.209133,51.5159,1,79
155,E01002902,-0.155861,51.489535,1,73
156,E01002912,-0.1855,51.483163,1,4
157,E01002913,-0.181671,51.481665,1,59
158,E01002840,-0.178904,51.482431,1,48
159,E01002865,-0.198993,51.498928,1,71
160,E01002908,-0.223335,51.521331,1,28
161,E01002861,-0.163857,51.491279,1,56
162,E01002827,-0.197451,51.508796,1,44
163,E01002843,-0.185175,51.48046,1,27
164,E01002898,-0.183904,51.490692,1,30
165,E01002841,-0.17986,51.480108,1,11
166,E01002849,-0.191804,51.491264,1,39
167,E01002821,-0.173629,51.495478,1,68
168,E01002814,-0.205715,51.496513,1,34
169,E01002912,-0.184312,51.484044,1,42
170,E01002819,-0.164551,51.499113,1,11
171,E01002819,-0.169119,51.496577,1,55
172,E01002913,-0.182109,51.481492,1,1
173,E01002819,-0.163374,51.499724,1,18
174,E01002900,-0.16415,51.483999,1,44
175,E01002835,-0.17874,51.493759,1,14
176,E01002913,-0.186385,51.482637,1,7
177,E01002883,-0.201652,51.508231,1,66
178,E01002862,-0.166769,51.490515,1,18
179,E01002891,-0.182615,51.501373,1,16
180,E01002847,-0.197008,51.490804,1,35
181,E01002900,-0.159242,51.484282,1,61
182,E01002850,-0.191669,51.494679,1,58
183,E01002910,-0.176936,51.488425,1,84
184,E01002877,-0.220973,51.51536,1,46
185,E01002824,-0.1944,51.505782,1,60
186,E01002878,-0.210219,51.517625,1,78
187,E01002847,-0.197433,51.490991,1,67
188,E01002833,-0.20496,51.515746,1,26
189,E01002877,-0.221419,51.515007,1,4
190,E01002814,-0.204258,51.496941,1,15
191,E01002832,-0.202381,51.515347,1,57
192,E01002902,-0.156843,51.49018,1,75
193,E01002896,-0.186832,51.485881,1,19
194,E01002827,-0.194905,51.507588,1,61
195,E01002828,-0.199914,51.508474,1,46
196,E01002901,-0.150111,51.485667,2,44
197,E01002912,-0.185496,51.483253,1,21
198,E01002845,-0.175802,51.484361,1,17
199,E01002896,-0.187387,51.486429,1,75
200,E01001874,-0.222561,51.515295,1,39
201,E01002882,-0.201634,51.512368,1,11
202,E01002910,-0.171509,51.487262,1,76
203,E01004689,-0.161426,51.501582,1,77
204,E01002864,-0.208335,51.499521,1,55
205,E01002827,-0.194786,51.506957,1,71
206,E01002893,-0.188636,51.487618,1,79
