Road_Id,Road_Name,Road_category,Road_Type
1,M1,TM,Single carriageway
2,M621,TM,Single carriageway
3,M18,TM,One way street
4,M62,TM,Single carriageway
5,A614,TR,Single carriageway
6,M621,TM,Roundabout
7,A1,TM,One way street
8,A1,TM,Single carriageway
9,A1,TR,Single carriageway
10,A18,PR,Single carriageway
11,A18,PR,Dual carriageway
12,A46,PU,Single carriageway
13,A57,PR,Single carriageway
14,A58,PR,Single carriageway
15,A58,TU,Single carriageway
16,A58,PU,One way street
17,A59,PR,Single carriageway
18,A60,PU,Single carriageway
19,A61,PR,Dual carriageway
20,A61,PU,Single carriageway
21,A62,PU,Single carriageway
22,A63,TU,Single carriageway
23,A65,TR,Single carriageway
24,A65,PU,Single carriageway
25,A66,TM,Dual carriageway
26,A614,PR,Dual carriageway
27,A164,PU,Single carriageway
28,A165,PR,Single carriageway
29,A165,PU,Single carriageway
30,A167,PR,One way street
31,A170,PR,Single carriageway
32,A172,PR,Single carriageway
33,A614,PU,Single carriageway
34,A616,TR,Single carriageway
35,A6135,PU,Single carriageway
36,A618,PU,Single carriageway
37,A639,PU,Single carriageway
38,A629,PR,Single carriageway
39,A629,PR,One way street
40,A6178,PU,Single carriageway
41,A631,PU,Single carriageway
42,A633,PU,Single carriageway
43,A635,PR,Single carriageway
44,A638,PU,Single carriageway
45,A638,PR,Single carriageway
46,A639,PU,Dual carriageway
47,A640,PR,Single carriageway
48,A641,PU,One way street
49,A642,PR,Single carriageway
50,A643,PU,Single carriageway
51,A643,PU,Dual carriageway
52,A644,PU,Single carriageway
53,A645,PU,Single carriageway
54,A646,TU,Single carriageway
55,A6181,PU,Dual carriageway
56,A647,PU,Single carriageway
57,A649,PU,Single carriageway
58,A650,TU,Single carriageway
59,A650,PU,Dual carriageway
60,A651,PU,Dual carriageway
61,A654,PR,Single carriageway
62,A655,PU,Single carriageway
63,A658,PR,Single carriageway
64,A658,PU,Single carriageway
65,A659,PR,Dual carriageway
66,A1029,PU,Single carriageway
67,A1033,TU,Single carriageway
68,A1035,PU,Dual carriageway
69,A1041,TR,Roundabout
70,A1077,PR,Single carriageway
71,A1079,TR,Roundabout
72,A1174,PU,Single carriageway
73,A629,PU,Single carriageway
74,A6026,PU,Single carriageway
75,A6036,PU,Single carriageway
76,A6038,PU,Dual carriageway
77,A6107,PU,Single carriageway
78,A630,PU,Single carriageway
79,A6120,TU,Single carriageway
80,A6135,PR,Single carriageway
81,A659,PR,Single carriageway
82,A18,PU,Single carriageway
83,A61,PU,Dual carriageway
84,A6102,PU,Dual carriageway
85,A58,PU,Single carriageway
86,A6142,PU,Single carriageway
87,A6177,PU,Single carriageway
88,A6021,PU,Single carriageway
89,A6182,PR,Single carriageway
90,A164,PR,Single carriageway
91,A64,TR,Single carriageway
92,A1136,PU,Single carriageway
93,A57,PU,Single carriageway
94,M18,TM,Single carriageway
95,A659,PU,Single carriageway
96,A1036,PU,Single carriageway
97,A63,TR,Single carriageway
98,A6021,PU,Dual carriageway
99,A16,PU,Single carriageway
100,A1166,PU,Single carriageway
101,A1036,PU,Dual carriageway
102,A61,PU,One way street
103,A661,PR,Single carriageway
104,A6035,PU,Single carriageway
105,A660,PU,One way street
106,A64,PM,Single carriageway
107,A6037,PU,Single carriageway
108,A650,PU,Single carriageway
109,A6109,PU,Single carriageway
110,A616,TR,One way street
111,A1237,PR,Single carriageway
112,A621,PU,Dual carriageway
113,A180,PU,Single carriageway
114,A635,PU,Single carriageway
115,M180,TM,Single carriageway
116,A18,PU,One way street
117,A18,PR,One way street
118,A19,PR,Dual carriageway
119,A46,PR,Single carriageway
120,A57,TR,Single carriageway
121,A58,TU,Dual carriageway
122,A59,PU,Single carriageway
123,A59,TR,Single carriageway
124,A61,PR,One way street
125,A653,PU,Single carriageway
126,A64,PU,Single carriageway
127,A162,PR,One way street
128,A614,PR,Single carriageway
129,A164,PU,Dual carriageway
130,A165,PR,Dual carriageway
131,A166,PR,Single carriageway
132,A168,TR,Single carriageway
133,A170,PR,One way street
134,A614,PR,Roundabout
135,A621,PU,One way street
136,A630,PR,Single carriageway
137,A631,PU,One way street
138,A631,PR,Single carriageway
139,A633,PU,Dual carriageway
140,A637,PR,One way street
141,A638,PU,Dual carriageway
142,A638,TU,Single carriageway
143,A639,PR,Single carriageway
144,A641,PU,Single carriageway
145,A642,PU,Single carriageway
146,A646,TR,Dual carriageway
147,A651,PU,Single carriageway
148,A656,PR,One way street
149,A657,PU,Dual carriageway
150,A660,PU,Single carriageway
151,A672,PR,Dual carriageway
152,A687,PR,Single carriageway
153,A1034,PR,Single carriageway
154,A1039,PR,Single carriageway
155,A1098,PR,Roundabout
156,A6024,PU,One way street
157,A6110,PU,Single carriageway
158,A6120,PU,Single carriageway
159,A6136,PR,Single carriageway
160,A6123,PU,Single carriageway
161,A6181,PU,Single carriageway
162,A15,TR,Single carriageway
163,A1105,PU,Single carriageway
164,A1165,PU,Dual carriageway
165,A180,TR,Single carriageway
166,A65,TR,One way street
167,A6069,PR,Single carriageway
168,A61,PR,Single carriageway
169,A171,PU,Single carriageway
170,A660,TU,Single carriageway
171,A1173,PR,Single carriageway
172,A1237,TR,Single carriageway
173,A621,PU,Single carriageway
174,A629,TR,Single carriageway
175,A19,TR,Single carriageway
176,A1079,TR,Single carriageway
177,A6102,PU,Single carriageway
178,A1077,PR,Dual carriageway
179,M1,TM,Dual carriageway
180,M606,TM,Single carriageway
181,A18,PU,Dual carriageway
182,A19,PU,Single carriageway
183,A19,TR,One way street
184,A65,PU,One way street
185,A66,TR,Single carriageway
186,A163,PR,Single carriageway
187,A167,PR,Single carriageway
188,A169,PR,Dual carriageway
189,A174,PR,Single carriageway
190,A616,PR,Single carriageway
191,A628,PR,Single carriageway
192,A634,PR,Single carriageway
193,A636,PR,Single carriageway
194,A644,PR,Single carriageway
195,A647,PU,Roundabout
